Date,Region,Product,Revenue,Cost,Salesperson,Profit,Profit Margin (%)
2020-01-01 00:00:00.000000000,North,Product D,3590.53,1728.94,Brittany Richard,1861.59,51.85
2020-01-01 17:33:18.396793587,North,Product B,1275.54,1281.42,Kelsey Dean,-5.88,-0.46
2020-01-02 11:06:36.793587174,West,Product D,3868.21,2813.51,Ricky Stone,1054.7,27.27
2020-01-03 04:39:55.190380761,East,Product A,1006.93,3487.59,Walter Edwards,-2480.66,-246.36
2020-01-03 22:13:13.587174348,West,Product C,3929.21,1459.69,Valerie Bender,2469.52,62.85
2020-01-04 15:46:31.983967935,West,Product D,1571.71,491.25,Andrew Ford,1080.46,68.74
2020-01-05 09:19:50.380761523,South,Product C,4562.56,2609.31,Ethan Cruz,1953.25,42.81
2020-01-06 02:53:08.777555110,West,Product A,4511.15,3045.54,Mark Hobbs,1465.61,32.49
2020-01-06 20:26:27.174348697,West,Product A,4756.57,536.01,Tammy Jones,4220.56,88.73
2020-01-07 13:59:45.571142284,North,Product B,1183.61,3102.53,Cynthia Walker,-1918.92,-162.12
2020-01-08 07:33:03.967935871,South,Product A,3591.39,2079.53,Carla Stephens,1511.86,42.1
2020-01-09 01:06:22.364729458,North,Product C,858.51,810.75,Brenda Hebert,47.76,5.56
2020-01-09 18:39:40.761523046,North,Product D,4997.36,2214.74,Logan Wolf,2782.62,55.68
2020-01-10 12:12:59.158316633,North,Product C,841.45,3898.89,Taylor Kelly,-3057.44,-363.35
2020-01-11 05:46:17.555110220,East,Product A,2479.48,1826.4,Ronnie Murray,653.08,26.34
2020-01-11 23:19:35.951903807,South,Product B,2098.16,1608.84,Jose Ramos,489.32,23.32
2020-01-12 16:52:54.348697394,West,Product A,820.24,1241.46,Kenneth Jackson,-421.22,-51.35
2020-01-13 10:26:12.745490981,West,Product B,615.58,2568.86,Vicki Smith,-1953.28,-317.31
2020-01-14 03:59:31.142284569,West,Product A,566.6,2783.48,Yvonne Jackson MD,-2216.88,-391.26
2020-01-14 21:32:49.539078156,East,Product C,549.83,571.79,Jean Cunningham,-21.96,-3.99
2020-01-15 15:06:07.935871743,East,Product D,2968.47,1148.77,Victoria Li,1819.7,61.3
2020-01-16 08:39:26.332665330,West,Product D,4283.15,3698.1,Patricia Whitaker,585.05,13.66
2020-01-17 02:12:44.729458917,East,Product C,3120.34,3230.29,Elizabeth Webster,-109.95,-3.52
2020-01-17 19:46:03.126252505,South,Product D,1142.03,3407.53,Nathan Baker,-2265.5,-198.37
2020-01-18 13:19:21.523046092,North,Product D,2354.32,2082.63,Tina Green,271.69,11.54
2020-01-19 06:52:39.919839679,North,Product D,4565.03,1892.64,Michael Collins,2672.39,58.54
2020-01-20 00:25:58.316633266,North,Product B,2932.8,1887.01,Samantha Hernandez,1045.79,35.66
2020-01-20 17:59:16.713426853,North,Product B,4752.49,457.02,Juan Reese,4295.47,90.38
2020-01-21 11:32:35.110220440,East,Product D,4496.74,1533.47,Kaitlin Parker,2963.27,65.9
2020-01-22 05:05:53.507014028,North,Product D,3602.02,1333.44,Anthony Roberts,2268.58,62.98
2020-01-22 22:39:11.903807615,South,Product A,3399.01,1252.38,Julie Smith,2146.63,63.15
2020-01-23 16:12:30.300601202,South,Product A,3703.86,3166.53,Randall Morris,537.33,14.51
2020-01-24 09:45:48.697394789,West,Product A,3939.31,3694.31,Valerie Greer,245.0,6.22
2020-01-25 03:19:07.094188376,South,Product B,775.06,879.04,Micheal Nelson,-103.98,-13.42
2020-01-25 20:52:25.490981963,East,Product B,2910.77,872.19,Pamela Clayton,2038.58,70.04
2020-01-26 14:25:43.887775551,South,Product C,2002.29,3292.02,Holly Walker,-1289.73,-64.41
2020-01-27 07:59:02.284569138,East,Product B,4312.48,1185.07,Emily Jackson,3127.41,72.52
2020-01-28 01:32:20.681362725,South,Product B,4164.25,746.56,Timothy Nguyen,3417.69,82.07
2020-01-28 19:05:39.078156312,South,Product C,4331.42,2991.06,Kevin Martinez,1340.36,30.95
2020-01-29 12:38:57.474949899,East,Product D,527.63,3731.87,Amber Jones,-3204.24,-607.29
2020-01-30 06:12:15.871743487,East,Product A,1683.25,1804.94,Sarah Mendez,-121.69,-7.23
2020-01-30 23:45:34.268537074,East,Product D,1184.34,757.95,Wendy Osborne,426.39,36.0
2020-01-31 17:18:52.665330661,East,Product B,2147.59,533.19,Andrew Webb,1614.4,75.17
2020-02-01 10:52:11.062124248,West,Product C,2183.83,637.66,Christian Howard,1546.17,70.8
2020-02-02 04:25:29.458917835,South,Product C,2098.01,827.99,Dominique Davis,1270.02,60.53
2020-02-02 21:58:47.855711422,North,Product C,3627.27,3782.36,Amy Delgado,-155.09,-4.28
2020-02-03 15:32:06.252505010,East,Product A,2557.05,1942.27,David Pitts,614.78,24.04
2020-02-04 09:05:24.649298597,East,Product B,3104.58,1194.91,Julie Vazquez,1909.67,61.51
2020-02-05 02:38:43.046092184,North,Product B,3685.98,3842.54,Ryan Leach,-156.56,-4.25
2020-02-05 20:12:01.442885771,East,Product A,2551.63,2434.83,Adam Bishop,116.8,4.58
2020-02-06 13:45:19.839679358,West,Product B,1725.58,1507.51,Kyle Davis,218.07,12.64
2020-02-07 07:18:38.236472946,North,Product A,791.28,2280.42,Christina Johnson,-1489.14,-188.19
2020-02-08 00:51:56.633266533,West,Product D,3895.74,3171.6,Emily Noble,724.14,18.59
2020-02-08 18:25:15.030060120,South,Product A,2461.63,3244.16,Joseph Williams,-782.53,-31.79
2020-02-09 11:58:33.426853707,North,Product C,3648.31,391.66,Antonio Black,3256.65,89.26
2020-02-10 05:31:51.823647294,South,Product C,4211.41,3794.96,Kimberly Burton,416.45,9.89
2020-02-10 23:05:10.220440881,East,Product A,3190.97,1216.84,Billy Mckee,1974.13,61.87
2020-02-11 16:38:28.617234469,West,Product A,3193.96,1910.89,Dennis Collins,1283.07,40.17
2020-02-12 10:11:47.014028056,East,Product D,4013.39,2499.57,David Scott,1513.82,37.72
2020-02-13 03:45:05.410821643,North,Product A,1956.49,3769.83,Monica Wilson,-1813.34,-92.68
2020-02-13 21:18:23.807615230,South,Product A,2647.59,3719.13,Ashley Perry,-1071.54,-40.47
2020-02-14 14:51:42.204408817,South,Product A,3324.07,3535.62,Benjamin Palmer,-211.55,-6.36
2020-02-15 08:25:00.601202404,East,Product D,1152.36,1430.3,Sandra Smith,-277.94,-24.12
2020-02-16 01:58:18.997995992,East,Product B,1549.26,3752.35,Larry Mack,-2203.09,-142.2
2020-02-16 19:31:37.394789579,West,Product D,3067.38,2021.25,Louis Mcguire,1046.13,34.11
2020-02-17 13:04:55.791583166,South,Product C,1689.51,1871.64,Shannon Lewis,-182.13,-10.78
2020-02-18 06:38:14.188376753,North,Product A,2548.95,2137.19,Nicole Russell,411.76,16.15
2020-02-19 00:11:32.585170340,East,Product B,4978.67,2314.55,Savannah Johnson,2664.12,53.51
2020-02-19 17:44:50.981963927,North,Product D,2229.43,3304.3,Gregory Edwards,-1074.87,-48.21
2020-02-20 11:18:09.378757515,East,Product B,2902.7,2606.06,Cassidy Gonzalez,296.64,10.22
2020-02-21 04:51:27.775551102,West,Product B,4902.78,2150.51,Lucas Baker,2752.27,56.14
2020-02-21 22:24:46.172344689,East,Product B,4594.21,3857.03,George Young,737.18,16.05
2020-02-22 15:58:04.569138276,North,Product D,4770.39,2944.15,Katherine Flores,1826.24,38.28
2020-02-23 09:31:22.965931864,East,Product C,1116.68,2747.71,Lisa Oneill,-1631.03,-146.06
2020-02-24 03:04:41.362725451,West,Product D,4242.62,3388.94,Jasmine Blackwell,853.68,20.12
